,Q1,Q2,Q3,Q4
길냥이,9.010913347279288,0.0,0.0,0.0
김망고,10.39720770839918,0.0,0.0,0.0
김포,0.0,0.0,7.6246189861593985,0.0
꽃스타그램,0.0,8.317766166719343,0.0,0.0
꾸꾸,0.0,0.0,8.317766166719343,0.0
꿈을드리는여행,0.0,0.0,16.635532333438686,0.0
나인웨어,0.0,22.873856958478193,0.0,0.0
남매맘,0.0,0.0,0.0,8.317766166719343
남미,0.0,19.408121055678468,0.0,0.0
남자데일리룩,15.249237972318797,0.0,0.0,0.0
남자옷,15.942385152878742,0.0,0.0,0.0
남자코디,11.78350206951907,0.0,0.0,0.0
남친룩,7.6246189861593985,0.0,0.0,0.0
남친짤,0.0,0.0,0.0,19.408121055678468
내돈내산,0.0,8.317766166719343,0.0,0.0
내방,12.476649250079015,0.0,0.0,0.0
냠냠,0.0,7.6246189861593985,0.0,0.0
냥스타그램,13.5210574052337,0.0,11.794964970523015,0.0
냥이스타그램,10.39720770839918,0.0,0.0,0.0
노을,0.0,18.021826694558577,0.0,0.0
노을바다,0.0,8.317766166719343,0.0,0.0
노지캠핑,9.704060527839234,0.0,0.0,0.0
녹차덕후,0.0,0.0,27.725887222397812,0.0
놀이공유,9.704060527839234,0.0,0.0,0.0
놀이그램,11.78350206951907,0.0,0.0,0.0
놀이미술,20.101268236238415,0.0,0.0,0.0
놀이육아,20.79441541679836,0.0,0.0,0.0
놈코어,9.010913347279288,0.0,0.0,0.0
놈코어룩,9.205826318456987,5.465959376583836,0.0,0.0
누리,0.0,0.0,0.0,24.95329850015803
뉴트리그램,21.487562597358306,0.0,0.0,0.0
능소화,8.317766166719343,0.0,0.0,0.0
다이어터,0.0,0.0,8.342780101101644,9.493508390908769
다이어터그램,0.0,10.39720770839918,0.0,0.0
다이어터소통,0.0,10.39720770839918,0.0,0.0
다이어터식단,0.0,10.39720770839918,0.0,0.0
다이어트,-8.479454949939969,-9.148885603882597,-7.81002429599734,-9.595172706511018
다이어트간식,0.0,4.890595231680274,3.4521848694213704,0.0
다이어트그램,0.0,0.0,13.862943611198906,0.0
다이어트기록,0.0,0.0,13.16979643063896,0.0
다이어트레시피,11.78350206951907,0.0,0.0,0.0
다이어트빵,0.0,23.56700413903814,0.0,0.0
다이어트소통,0.0,10.39720770839918,0.0,0.0
다이어트식단,-6.471162988112082,-8.479454949939969,-6.471162988112082,-5.132301680226823
다이어트요리,15.942385152878742,0.0,0.0,0.0
닥터힐메딕스,0.0,9.704060527839234,0.0,0.0
단발녀,0.0,14.556090791758852,0.0,0.0
단발머리,0.0,16.635532333438686,0.0,0.0
단발스타그램,0.0,19.408121055678468,0.0,0.0
단백질바,15.942385152878742,0.0,0.0,0.0
담양,24.95329850015803,0.0,0.0,0.0
당충전,13.16979643063896,0.0,0.0,0.0
대구,0.0,0.0,0.0,0.0
대구맛집,18.714973875118524,0.0,0.0,0.0
대구신상카페,9.781190463360549,0.0,4.6029131592284935,0.0
대구카페,0.0,0.0,0.0,0.0
대구카페추천,9.010913347279288,0.0,0.0,0.0
대구핫플,20.79441541679836,0.0,0.0,0.0
대리석테이블,0.0,11.090354888959125,0.0,0.0
대전,0.0,24.95329850015803,0.0,0.0
대학생,0.0,7.6246189861593985,0.0,0.0
대한민국구석구석,16.635532333438686,0.0,0.0,0.0
대흥역카페,9.704060527839234,0.0,0.0,0.0
댓글,0.0,3.739866941873151,6.616687666390959,0.0
댓글이벤트,0.0,8.317766166719343,0.0,0.0
댕댕이,0.0,0.0,0.0,0.0
댕댕이그램,0.0,0.0,0.0,25.646445680717974
데일리,-37.93440372341565,-16.958909899879938,-23.20692933667781,-47.306432878612455
데일리그램,0.0,0.0,0.0,54.06548008367573
데일리룩,-29.45494877347568,-29.45494877347568,-24.09950354193465,-4.686014577598404
데일리룩코디,7.767415956198083,6.904369738842741,0.0,0.0
데일리코디,11.507282898071233,0.0,3.4521848694213704,0.0
데일리패션,12.476649250079015,0.0,0.0,0.0
도그플레이스,0.0,0.0,9.704060527839234,0.0
도산공원맛집,0.0,0.0,10.39720770839918,0.0
도치맘,0.0,0.0,14.096421550137261,4.315231086776713
도하,0.0,0.0,0.0,24.95329850015803
독스타그램,0.0,0.0,0.0,11.78350206951907
독후활동,18.714973875118524,0.0,0.0,0.0
동결건조사료,0.0,13.862943611198906,0.0,0.0
동대구역카페,0.0,0.0,15.249237972318797,0.0
