,id,post_num,follower_num,category,audi_stat,follower_reach,reach,reach%,ER,posting_term,,,,,,,,,,,,
53,sony_in_,105,"3,403","푸드 ,일상","30대, 여성(52%)","2,041 (83%)","2,449",71.97%,9.65%,1.8,,,,,,,,,,,,
54,01_isena,105,"7,162","뷰티 ,패션, 푸드","30대, 여성(72%)","1,984 (29%)","6,916",96.57%,1.99%,0.2,,,,,,,,,,,,
55,happzziny,110,"3,133","일상 ,푸드","30대, 여성(77%)",753 (29%),"2,559",81.68%,2.88%,0.6,,,,,,,,,,,,
56,hay_yoon.k,111,"3,624","일상 ,패션, 뷰티","30대, 여성(63%)","1,272 (10%)","12,816",353.64%,10.17%,0.6,,,,,,,,,,,,
57,prunus.official,112,"4,501",,"30대, 여성(74%)","2,700 (83%)","3,240",71.98%,4.26%,0.5,,,,,,,,,,,,
58,haeuuuuun_94,113,"8,263",엔터테인먼트,"20대, 여성(86%)","2,778 (83%)","3,333",40.34%,7.33%,1.7,,,,,,,,,,,,
59,jja.dduoo,114,"8,880","패션 ,동물","30대, 여성(58%)","2,509 (36%)","7,002",78.85%,5.14%,0.5,,,,,,,,,,,,
60,maigmati,114,"7,782",,"30대, 여성(78%)","5,936 (68%)","8,671",111.42%,1.86%,0.4,,,,,,,,,,,,
61,chu._.vw,116,"9,566",,"30대, 여성(77%)","3,969 (85%)","4,683",48.95%,8.60%,0.3,,,,,,,,,,,,
62,s__.ugoi,119,"7,254","뷰티 ,일상, 패션","30대, 여성(66%)","3,483 (42%)","8,290",114.28%,3.67%,1.5,,,,,,,,,,,,
63,__monolife,120,"3,724",패션,"30대, 여성(73%)","3,517 (47%)","7,428",199.46%,12.60%,1.2,,,,,,,,,,,,
64,ordinary_lab_of,121,"6,105","패션 ,일상","30대, 여성(74%)","2,965 (83%)","3,558",58.28%,17.34%,0.4,,,,,,,,,,,,
65,lami_lov2,122,"9,074",푸드,"30대, 여성(75%)","2,628 (83%)","3,153",34.75%,3.03%,2,,,,,,,,,,,,
66,cutteyooung,124,"7,112","일상 ,패션, 뷰티","30대, 여성(56%)","1,820 (44%)","4,172",58.66%,4.54%,0.5,,,,,,,,,,,,
67,miinn_oi,125,"3,027",일상,"30대, 여성(68%)",840 (35%),"2,397",79.19%,4.91%,1.3,,,,,,,,,,,,
68,joeee_ly,125,"3,157","패션 ,일상","30대, 여성(61%)","1,315 (83%)","1,578",49.98%,11.28%,0.9,,,,,,,,,,,,
69,i.jini_,126,"3,486","일상 ,패션, 여행","30대, 여성(64%)",848 (4%),"20,284",581.87%,3.32%,0.5,,,,,,,,,,,,
70,jejucaptain,126,"5,520","여행 ,일상, 푸드","30대, 여성(75%)","4,662 (14%)","33,266",602.64%,9.37%,0.6,,,,,,,,,,,,
71,dyoni._.95,128,"2,368",,"20대, 여성(88%)","1,101 (11%)","10,125",427.58%,11.23%,13,,,,,,,,,,,,
72,d.throne_official,128,"7,996","키즈 ,디지털","30대, 여성(80%)","3,185 (83%)","3,822",47.80%,1.07%,0.7,,,,,,,,,,,,
